COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Botswana,BWA,AFRO,REPORTING,01-09-21,379684,379526,16.146,16.139,318272,13.534,26-03-21,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,
Brazil,BRA,AMRO,REPORTING,17-09-21,207860768,138338809,97.789,65.082,74055603,34.84,17-01-21,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
British Virgin Islands,VGB,AMRO,REPORTING,10-09-21,31704,17298,104.852,57.208,14406,47.644,11-02-21,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,,,,,,,
Brunei Darussalam,BRN,WPRO,REPORTING,10-09-21,370287,235380,84.641,53.804,134907,30.837,03-04-21,5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,
Bulgaria,BGR,EURO,OWID,18-09-21,2461969,,35.416,,1274875,18.34,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Burkina Faso,BFA,AFRO,REPORTING,12-09-21,166160,166160,0.795,0.795,102268,0.489,02-06-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Cabo Verde,CPV,AFRO,REPORTING,16-09-21,385717,277322,69.375,49.879,108529,19.52,18-03-21,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
Cambodia,KHM,WPRO,REPORTING,10-09-21,20554497,11406989,122.941,68.228,9350408,55.927,10-02-21,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac,,,,
Cameroon,CMR,AFRO,REPORTING,17-09-21,452336,370319,1.704,1.395,82017,0.309,12-04-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Canada,CAN,AMRO,REPORTING,17-09-21,54807381,28543478,145.215,75.628,26263903,69.588,14-12-20,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
Cayman Islands,CYM,AMRO,REPORTING,17-09-21,104609,54167,159.174,82.421,50442,76.753,15-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Central African Republic,CAF,AFRO,REPORTING,16-09-21,185678,82662,3.844,1.712,103016,2.133,19-03-21,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Bharat - Covaxin,SII - Covishield,,,,,,,
Chad,TCD,AFRO,REPORTING,19-09-21,123052,98213,0.749,0.598,24839,0.151,04-06-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,,,,,,,,
Chile,CHL,AMRO,REPORTING,17-09-21,30673101,14632278,160.456,76.544,13994080,73.205,21-12-20,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,
China,CHN,WPRO,REPORTING,10-09-21,2143864359,1099627432,145.714,74.739,973716927,66.181,22-07-20,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated,,,
Colombia,COL,AMRO,REPORTING,17-09-21,38002826,24841106,74.687,48.82,15968154,31.382,17-02-21,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,
Comoros,COM,AFRO,REPORTING,20-09-21,334369,174765,38.451,20.097,159604,18.354,10-04-21,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield,,,,,,
