COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Saudi Arabia,SAU,EMRO,REPORTING,20-09-21,40959293,23109796,117.652,66.381,17849497,51.271,06-01-21,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,
Senegal,SEN,AFRO,REPORTING,20-09-21,1723067,1221424,10.291,7.295,799722,4.776,23-02-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Serbia,SRB,EURO,OWID,16-09-21,6238655,2990502,90.067,43.174,2854142,41.205,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,,
Seychelles,SYC,AFRO,REPORTING,16-09-21,148402,77311,150.896,78.61,71091,72.286,10-01-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Sierra Leone,SLE,AFRO,REPORTING,13-09-21,221110,181065,2.772,2.27,40045,0.502,15-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Singapore,SGP,WPRO,REPORTING,10-09-21,8846497,4551854,151.213,77.805,4411550,75.407,30-12-20,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Sint Eustatius,XBA,AMRO,REPORTING,17-09-21,2800,1449,89.2,46.161,1351,43.039,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sint Maarten,SXM,AMRO,REPORTING,17-09-21,49159,25672,114.638,59.867,23487,54.771,22-02-21,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Slovakia,SVK,EURO,OWID,17-09-21,4636179,2415058,84.945,44.249,2221121,40.696,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
Slovenia,SVN,EURO,OWID,18-09-21,2053257,1085401,97.967,51.788,967856,46.179,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,10-09-21,97744,74573,14.23,10.857,23171,3.373,23-03-21,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,
Somalia,SOM,EMRO,REPORTING,20-09-21,390141,241945,2.455,1.522,148196,0.932,16-03-21,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac,,,,,
South Africa,ZAF,AFRO,REPORTING,19-09-21,15970308,8073654,26.927,13.613,7896654,13.314,17-02-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,,,,,,,,
South Sudan,SSD,AFRO,REPORTING,19-09-21,96041,69157,0.858,0.618,26884,0.24,06-04-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Spain,ESP,EURO,OWID,16-09-21,69094664,37385758,145.977,78.985,35784743,75.603,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Sri Lanka,LKA,SEARO,REPORTING,13-09-21,24226161,13553534,113.136,63.295,10672627,49.841,29-01-21,6,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
Sudan,SDN,EMRO,REPORTING,19-09-21,1499982,649062,3.421,1.48,581846,1.327,09-03-21,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
Suriname,SUR,AMRO,REPORTING,17-09-21,374184,215679,63.785,36.766,158505,27.019,23-02-21,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
Sweden,SWE,EURO,OWID,17-09-21,13403076,7070462,129.779,68.462,6332614,61.317,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
Switzerland,CHE,EURO,OWID,16-09-21,10055192,5270807,116.183,60.902,4587999,53.012,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,
Syrian Arab Republic,SYR,EMRO,REPORTING,13-09-21,533949,285087,3.051,1.629,248862,1.422,01-04-21,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac,,,,
Tajikistan,TJK,EURO,OWID,13-09-21,3446777,2168537,36.139,22.737,1278240,13.402,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Sinovac - CoronaVac,,,,,,
Thailand,THA,SEARO,REPORTING,12-09-21,39661281,27303700,56.821,39.117,12357581,17.704,28-02-21,7,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,
The United Kingdom,GBR,EURO,REPORTING,13-09-21,92487365,48439272,136.2,71.172,43935821,64.72,21-12-20,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Timor-Leste,TLS,SEARO,REPORTING,14-09-21,643324,408918,48.794,31.015,234406,17.779,07-04-21,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac,,,,,,
Togo,TGO,AFRO,REPORTING,17-09-21,832822,445041,10.06,5.376,387781,4.684,10-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Tokelau,TKL,WPRO,REPORTING,03-08-21,968,968,71.704,71.704,,,20-07-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Tonga,TON,WPRO,REPORTING,13-09-21,73603,46126,69.637,43.641,27477,25.996,14-04-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
Trinidad and Tobago,TTO,AMRO,REPORTING,17-09-21,1009873,564871,72.16,40.363,456483,32.618,17-02-21,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
Tunisia,TUN,EMRO,REPORTING,18-09-21,7132375,4656510,60.349,39.4,3209273,27.154,13-03-21,7,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
Turkey,TUR,EURO,OWID,18-09-21,104894094,52601310,124.372,62.369,41902917,49.684,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac,,,,,,,
Turkmenistan,TKM,EURO,OWID,04-04-21,41993,32240,0.696,0.535,9753,0.162,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SRCVB - EpiVacCorona, AstraZeneca - AZD1222, Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,,
Turks and Caicos Islands,TCA,AMRO,REPORTING,17-09-21,52374,27446,135.27,70.887,24928,64.383,11-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Tuvalu,TUV,WPRO,REPORTING,10-09-21,10861,6209,92.105,52.654,4652,39.45,13-04-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
Uganda,UGA,AFRO,REPORTING,01-09-21,1436264,1030447,3.14,2.253,366658,0.802,10-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Ukraine,UKR,EURO,OWID,18-09-21,11420819,6282896,26.114,14.366,5137923,11.748,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac,,,,,
United Arab Emirates,ARE,EMRO,REPORTING,20-09-21,19486569,,197.025,,,,14-12-20,5,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
United Republic of Tanzania,TZA,AFRO,REPORTING,16-09-21,389807,0,0.653,0,354807,0.594,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,,,,,,,,
United States of America,USA,AMRO,REPORTING,17-09-21,388936652,221241577,117.503,66.84,182628424,55.174,14-12-20,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Uruguay,URY,AMRO,REPORTING,17-09-21,5983253,2714224,172.243,78.136,2555614,73.57,27-02-21,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,
Uzbekistan,UZB,EURO,OWID,15-09-21,17435318,,52.094,,3345225,9.995,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,AstraZeneca - AZD1222, Gamaleya - Sputnik V, ZF2001,,,,,,
Vanuatu,VUT,WPRO,REPORTING,12-09-21,57171,42840,18.614,13.948,14345,4.67,02-06-21,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,,,,,,,
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,17-09-21,11094206,6822809,39.015,23.994,4261397,14.986,22-02-21,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated,,,,,,
Viet Nam,VNM,WPRO,REPORTING,10-09-21,25926688,21459102,26.636,22.046,4467586,4.59,08-03-21,5,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,
Wallis and Futuna,WLF,WPRO,REPORTING,09-09-21,9902,4952,88.049,44.033,4950,44.016,19-03-21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,,,,,,,,
Yemen,YEM,EMRO,REPORTING,12-09-21,322934,308025,1.083,1.033,14909,0.05,20-04-21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,SII - Covishield,,,,,,,
Zambia,ZMB,AFRO,REPORTING,23-08-21,503707,303966,2.74,1.653,199741,1.086,14-04-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Zimbabwe,ZWE,AFRO,REPORTING,14-09-21,4751735,2856955,31.97,19.222,1894780,12.748,18-02-21,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac,,,,,,
